date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:39	666/666	---M--	200	added ('OK')	text/html	etag:%2229a-48efc7d26c261%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/mediumDottedMaze.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/mediumDottedMaze.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:39	702/702	---M--	200	added ('OK')	text/html	etag:%222be-48efc7d2687c9%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/mediumScaryMaze.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/mediumScaryMaze.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:39	72/72	---M--	200	added ('OK')	text/html	etag:%2248-48efc7d27acc1%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/tinyCorners.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/tinyCorners.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:39	433/433	---M--	200	added ('OK')	text/html	etag:%221b1-48efc7d299cd9%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/mediumCorners.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/mediumCorners.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:40	30/30	---M--	200	added ('OK')	text/html	etag:%221e-48efc7d2927ad%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/testSearch.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/testSearch.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:40	70/70	---M--	200	added ('OK')	text/html	etag:%2246-48efc7d277229%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/tinySearch.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/tinySearch.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:40	256/256	---M--	200	added ('OK')	text/html	etag:%22100-48efc7d2752eb%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layouts/mediumSearch.lay	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layouts/mediumSearch.html	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.html)
10:39:40	3611/3611	---M--	200	added ('OK')	text/x-python	etag:%22e1b-49029fd87fd16%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/search.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/search.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/search.html)
10:39:41	20222/20222	---M--	200	added ('OK')	text/x-python	etag:%224efe-48fdaa3ba57a9%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/searchAgents.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/searchAgents.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/searchAgents.html)
10:39:41	24258/24258	---M--	200	added ('OK')	text/x-python	etag:%225ec2-49029fd87ca5c%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/pacman.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/pacman.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/pacman.html)
10:39:42	21434/21434	---M--	200	added ('OK')	text/x-python	etag:%2253ba-48efc7d2f6169%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/game.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/game.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/game.html)
10:39:42	13385/13385	---M--	200	added ('OK')	text/x-python	etag:%223449-48efc7d2fc311%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/util.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/util.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/util.html)
10:39:42	24877/24877	---M--	200	added ('OK')	text/x-python	etag:%22612d-48efc7d30c501%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/graphicsDisplay.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/graphicsDisplay.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/graphicsDisplay.html)
10:39:42	11388/11388	---M--	200	added ('OK')	text/x-python	etag:%222c7c-48efc7d309ddf%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/graphicsUtils.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/graphicsUtils.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/graphicsUtils.html)
10:39:43	1784/1784	---M--	200	added ('OK')	text/x-python	etag:%226f8-48efc7d2f80ab%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/textDisplay.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/textDisplay.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/textDisplay.html)
10:39:43	2702/2702	---M--	200	added ('OK')	text/x-python	etag:%22a8e-48efc7d30e42f%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/ghostAgents.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/ghostAgents.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/ghostAgents.html)
10:39:43	2664/2664	---M--	200	added ('OK')	text/x-python	etag:%22a68-48efc7d2ef7f3%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/keyboardAgents.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/keyboardAgents.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/keyboardAgents.html)
10:39:44	5060/5060	---M--	200	added ('OK')	text/x-python	etag:%2213c4-48efc7d2fe649%22	https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/layout.py	/home/tsuru/websites/pacman-doc/inst.eecs.berkeley.edu/_cs188/fa10/projects/search/layout.py	(from https://inst.eecs.berkeley.edu/~cs188/fa10/projects/search/docs/layout.html)
